,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
791,analyst,senior,6.5,8.0,5.0,0,1,Pune,3.2,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit,-1,-1,0,0,0,0,1,1,0,0,1
792,analyst,na,8.5,11.0,6.0,1,0,Bengaluru,3.7,1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,₹1 to ₹5 million (INR),-1,1,0,0,0,1,0,0,0,1
793,analyst,senior,9.5,10.0,9.0,1,0,Pune,4.8,51 to 200 employees,Company - Private,Lending,Finance,₹50 to ₹100 million (INR),8,1,0,0,1,0,1,1,0,1
794,analyst,na,9.5,10.0,9.0,1,0,Pune,3.5,1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,-1,-1,1,1,0,0,1,1,0,0,1
795,analyst,na,6.0,8.0,4.0,0,0,Delhi NCR,4.2,51 to 200 employees,Company - Private,-1,-1,-1,-1,1,0,0,0,1,1,1,0,1
796,analyst,na,4.5,5.0,4.0,0,0,Hyderabad,4.1,1001 to 5000 employees,Company - Private,IT Services,Information Technology,₹5 to ₹10 million (INR),-1,0,0,0,1,0,0,1,0,0
797,analyst,senior,7.0,9.0,5.0,1,0,Mumbai,3.6,1001 to 5000 employees,Company - Public,IT Services,Information Technology,₹500 million to ₹1 billion (INR),24,0,0,0,0,0,1,0,0,0
798,analyst,na,15.0,19.0,11.0,0,0,Bengaluru,4.5,1 to 50 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,₹1 to ₹5 million (INR),15,0,0,0,0,1,1,0,0,0
799,analyst,senior,12.0,15.0,9.0,1,0,Hyderabad,3.4,5001 to 10000 employees,Government,Health Care Services & Hospitals,Health Care,₹100 to ₹500 million (INR),56,0,0,0,0,1,0,0,0,0
800,analyst,na,12.0,15.0,9.0,0,0,Bengaluru,3.6,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹25 to ₹50 million (INR),-1,1,0,0,1,0,1,1,0,0
801,analyst,na,6.5,8.0,5.0,1,0,Pune,-1.0,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0
802,analyst,na,4.5,5.0,4.0,0,1,Pune,1.8,51 to 200 employees,Company - Private,-1,-1,₹50 to ₹100 million (INR),-1,0,0,0,0,1,0,0,0,0
803,analyst,na,10.5,12.0,9.0,0,1,Delhi NCR,4.1,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,₹25 to ₹50 million (INR),-1,0,0,0,0,1,1,0,0,0
804,analyst,na,10.0,13.0,7.0,0,1,Mumbai,3.2,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit,-1,51,0,0,0,0,1,0,0,0,0
805,analyst,na,4.5,6.0,3.0,1,0,Kolkata,4.5,501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹500 million to ₹1 billion (INR),22,0,0,0,0,1,1,0,0,0
806,analyst,na,7.0,9.0,5.0,0,1,Pune,3.6,201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,₹50 to ₹100 million (INR),14,0,0,0,0,1,1,0,0,1
807,analyst,na,8.5,11.0,6.0,0,1,Bengaluru,4.1,201 to 500 employees,Company - Private,-1,-1,₹10 to ₹25 million (INR),-1,0,0,0,0,1,0,0,0,0
808,analyst,na,9.0,12.0,6.0,0,1,Hyderabad,-1.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
809,analyst,senior,14.5,18.0,11.0,0,1,Bengaluru,3.9,1001 to 5000 employees,Company - Public,Internet,Information Technology,₹5 to ₹10 billion (INR),25,0,0,0,0,0,0,0,0,0
810,analyst,na,6.0,8.0,4.0,1,0,Hyderabad,-1.0,1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,Finance,-1,-1,0,0,0,0,1,0,0,0,0
811,analyst,na,9.5,12.0,7.0,0,1,Delhi NCR,4.3,51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,₹5 to ₹10 million (INR),-1,0,0,0,0,0,1,0,0,0
812,analyst,na,4.5,6.0,3.0,0,1,Delhi NCR,3.6,501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology,₹100 to ₹500 million (INR),39,0,0,0,0,1,0,0,0,0
813,analyst,na,5.0,6.0,4.0,1,0,Delhi NCR,3.3,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,₹500 million to ₹1 billion (INR),38,1,0,0,0,0,1,0,0,1
814,analyst,na,8.5,11.0,6.0,1,0,Bengaluru,3.1,201 to 500 employees,Company - Private,Industrial Manufacturing,Manufacturing,-1,44,0,0,0,0,1,0,0,0,0
815,analyst,senior,12.5,16.0,9.0,1,0,Mumbai,2.4,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,₹5 to ₹10 billion (INR),85,0,0,0,0,1,0,0,0,0
816,analyst,na,6.0,8.0,4.0,1,0,Hyderabad,5.0,51 to 200 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),14,0,0,0,0,1,1,0,0,0
817,analyst,na,12.5,16.0,9.0,0,1,Mumbai,-1.0,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0
818,analyst,na,8.5,11.0,6.0,1,0,Pune,3.9,10000+ employees,Company - Public,Internet,Information Technology,₹10+ billion (INR),28,0,0,0,0,1,1,0,0,0
819,analyst,na,6.543478260869566,8.391304347826088,4.695652173913044,0,0,Hyderabad,3.7,10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,₹10+ billion (INR),210,0,0,0,0,1,1,0,0,0
820,analyst,na,4.5,6.0,3.0,1,0,Delhi NCR,-1.0,51 to 200 employees,Government,Municipal Governments,Government,-1,-1,1,0,0,0,1,1,0,0,1
821,analyst,na,8.0,10.0,6.0,0,0,Mumbai,4.1,1001 to 5000 employees,Company - Public,Consulting,Business Services,₹500 million to ₹1 billion (INR),26,0,0,0,0,1,1,0,0,1
822,analyst,na,8.5,11.0,6.0,1,0,Pune,3.1,10000+ employees,Company - Public,Banks & Credit Unions,Finance,₹10+ billion (INR),158,0,0,0,0,0,0,0,0,0
823,analyst,na,6.0,8.0,4.0,0,1,Bengaluru,4.1,51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,-1,6,0,0,0,0,0,1,0,0,1
824,analyst,senior,8.5,11.0,6.0,0,0,Hyderabad,3.5,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹2 to ₹5 billion (INR),16,1,1,0,1,0,1,1,0,1
825,analyst,na,8.5,11.0,6.0,1,0,Mumbai,4.1,10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,₹1 to ₹2 billion (INR),56,1,0,0,0,1,1,0,0,1
826,analyst,na,8.5,11.0,6.0,1,0,Mumbai,4.0,1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,₹1 to ₹5 million (INR),-1,1,0,0,0,1,1,0,0,0
827,analyst,senior,10.0,11.0,9.0,0,1,Hyderabad,3.9,1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,₹10 to ₹25 million (INR),21,0,0,0,0,0,1,0,0,1
828,analyst,na,7.5,8.0,7.0,1,0,Pune,3.9,1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance,₹500 million to ₹1 billion (INR),31,1,0,0,0,1,1,0,0,1
