,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
663,analyst,na,6.0,8.0,4.0,0,1,Mumbai,4.7,1 to 50 employees,Company - Private,Research & Development,Business Services,₹100 to ₹500 million (INR),14,1,0,0,0,1,1,1,0,0
664,analyst,na,7.0,9.0,5.0,0,1,Pune,4.1,1 to 50 employees,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,₹5 to ₹10 million (INR),14,0,0,0,0,1,1,1,0,1
665,analyst,na,8.0,11.0,5.0,0,0,Chennai,3.6,1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,₹10+ billion (INR),90,0,0,0,0,0,1,0,0,0
666,analyst,na,8.5,11.0,6.0,0,1,Pune,4.0,1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,₹100 to ₹500 million (INR),48,0,0,0,0,0,0,0,0,0
667,analyst,na,8.5,11.0,6.0,0,1,Mumbai,3.1,51 to 200 employees,Company - Private,Consulting,Business Services,₹10 to ₹25 million (INR),11,1,0,0,1,1,1,0,1,1
668,analyst,na,5.0,6.0,4.0,1,0,Hyderabad,3.8,1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,₹2 to ₹5 billion (INR),27,0,0,0,0,0,0,0,0,0
669,analyst,na,7.0,9.0,5.0,0,1,Pune,5.0,1 to 50 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,0,0,0,0,1,1,0,0,0
670,analyst,na,9.0,12.0,6.0,1,0,Hyderabad,4.4,51 to 200 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,0,0,0,0,1,1,0,0,0
671,analyst,na,10.0,13.0,7.0,0,1,Chennai,3.7,51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,₹50 to ₹100 million (INR),41,0,0,0,0,1,1,0,0,1
672,analyst,na,7.5,8.0,7.0,0,0,Delhi NCR,3.7,51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,₹1 to ₹5 million (INR),18,0,0,0,0,1,1,0,0,0
673,analyst,na,12.0,15.0,9.0,0,0,Hyderabad,3.9,51 to 200 employees,Contract,Staffing & Outsourcing,Business Services,₹1 to ₹5 million (INR),26,0,0,0,0,0,0,1,0,1
674,analyst,na,6.5,8.0,5.0,1,0,Delhi NCR,3.5,201 to 500 employees,Company - Private,Consulting,Business Services,₹10 to ₹25 million (INR),60,0,0,0,1,1,0,0,0,0
675,analyst,na,12.5,16.0,9.0,1,0,Chennai,3.0,201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,₹25 to ₹50 million (INR),37,0,0,0,0,0,0,0,0,0
676,analyst,senior,10.0,11.0,9.0,0,0,Hyderabad,3.3,51 to 200 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),17,1,0,0,0,1,1,0,0,0
677,analyst,senior,13.0,14.0,12.0,1,0,Mumbai,4.4,501 to 1000 employees,Company - Private,Research & Development,Business Services,₹100 to ₹500 million (INR),9,1,0,0,0,0,1,1,0,0
678,analyst,na,14.5,18.0,11.0,0,1,Bengaluru,4.1,1001 to 5000 employees,Company - Private,IT Services,Information Technology,₹5 to ₹10 million (INR),14,1,0,0,0,0,1,0,0,1
679,analyst,na,7.5,9.0,6.0,0,0,Chennai,2.9,1 to 50 employees,Company - Private,IT Services,Information Technology,₹1 to ₹5 million (INR),14,1,0,0,0,1,1,0,0,0
680,analyst,na,6.5,8.0,5.0,0,1,Bengaluru,3.9,1 to 50 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,0,0,0,0,0,0,0,0,0
681,analyst,na,12.5,16.0,9.0,1,0,Mumbai,5.0,1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,₹100 to ₹500 million (INR),30,1,0,0,0,0,0,1,0,0
682,analyst,na,12.0,15.0,9.0,1,0,Bengaluru,3.8,1001 to 5000 employees,Company - Public,Health Care Products Manufacturing,Manufacturing,₹50 to ₹100 million (INR),16,1,0,0,0,0,1,0,0,1
683,data engineer,senior,9.0,10.0,8.0,0,0,Pune,3.0,10000+ employees,Company - Public,Drug & Health Stores,Retail,₹10+ billion (INR),121,0,0,0,0,0,0,0,0,0
684,analyst,na,7.5,9.0,6.0,0,1,Chennai,3.9,51 to 200 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,0,0,0,0,0,1,0,0,0
685,analyst,na,8.0,10.0,6.0,0,0,Bengaluru,3.5,10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,₹2 to ₹5 billion (INR),74,0,0,0,0,0,0,0,0,0
686,analyst,na,9.0,11.0,7.0,0,0,Bengaluru,4.1,5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,₹1 to ₹2 billion (INR),34,0,0,0,0,0,0,0,0,0
687,analyst,na,7.5,8.0,7.0,1,0,Delhi NCR,5.0,1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care,₹100 to ₹500 million (INR),4,0,0,0,0,1,1,0,0,0
688,analyst,na,7.0,9.0,5.0,0,1,Pune,4.1,10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,₹1 to ₹2 billion (INR),56,0,0,0,0,1,1,0,0,0
689,analyst,na,8.0,10.0,6.0,0,1,Chennai,3.8,1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,₹100 to ₹500 million (INR),5,0,0,0,0,0,0,0,0,0
690,analyst,senior,7.0,9.0,5.0,1,0,Delhi NCR,5.0,51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance,₹100 to ₹500 million (INR),14,0,0,0,0,1,1,0,0,0
691,analyst,senior,8.0,11.0,5.0,0,1,Mumbai,4.0,10000+ employees,Company - Public,Motion Picture Production & Distribution,Media,₹10+ billion (INR),99,1,0,0,0,1,1,0,0,1
692,data scientist,na,4.5,6.0,3.0,0,1,Hyderabad,3.4,10000+ employees,Company - Public,IT Services,Information Technology,₹10+ billion (INR),103,0,0,0,1,1,0,1,0,0
693,analyst,na,18.0,23.0,13.0,0,0,Bengaluru,3.3,1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 million (INR),25,0,0,0,0,1,1,0,0,1
694,analyst,na,8.0,11.0,5.0,0,1,Pune,3.8,51 to 200 employees,Company - Private,Consulting,Business Services,₹10 to ₹25 million (INR),14,0,0,0,0,0,0,1,0,0
695,analyst,na,8.5,10.0,7.0,0,1,Chennai,4.1,1 to 50 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),14,0,0,0,0,0,0,0,0,0
696,analyst,na,12.0,15.0,9.0,1,0,Bengaluru,3.2,51 to 200 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities",₹25 to ₹50 million (INR),13,1,0,1,1,1,1,0,0,1
697,analyst,senior,9.0,10.0,8.0,0,1,Pune,3.8,1 to 50 employees,Company - Private,Accounting,Accounting & Legal,₹5 to ₹10 million (INR),34,0,0,0,0,0,0,0,0,0
698,analyst,na,4.5,6.0,3.0,0,1,Delhi NCR,2.6,201 to 500 employees,Company - Private,Consumer Products Manufacturing,Manufacturing,₹50 to ₹100 million (INR),14,1,1,0,0,1,1,0,0,0
699,analyst,na,4.0,5.0,3.0,1,0,Hyderabad,4.1,201 to 500 employees,Company - Private,Wholesale,Business Services,₹1 to ₹2 billion (INR),38,0,0,0,0,1,1,0,0,0
700,analyst,na,15.0,16.0,14.0,0,1,Bengaluru,3.9,1 to 50 employees,Company - Public,IT Services,Information Technology,Less than ₹1 million (INR),9,0,0,0,0,0,0,0,0,0
701,analyst,na,7.5,10.0,5.0,0,1,Hyderabad,4.1,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,₹25 to ₹50 million (INR),14,1,0,0,0,1,1,0,0,1
702,analyst,senior,10.0,11.0,9.0,0,1,Hyderabad,4.0,501 to 1000 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),23,0,0,0,1,1,0,0,0,0
703,analyst,na,8.5,11.0,6.0,1,0,Mumbai,3.6,1001 to 5000 employees,Company - Public,IT Services,Information Technology,₹500 million to ₹1 billion (INR),24,0,0,0,0,0,1,0,0,0
704,analyst,na,7.0,9.0,5.0,1,0,Mumbai,4.1,201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,₹10 to ₹25 million (INR),37,0,0,0,1,1,0,0,0,0
705,analyst,na,9.5,12.0,7.0,1,0,Bengaluru,5.0,51 to 200 employees,Subsidiary or Business Segment,Internet,Information Technology,₹1 to ₹5 million (INR),4,0,0,0,0,1,1,0,0,1
706,analyst,na,5.0,6.0,4.0,0,1,Hyderabad,3.3,10000+ employees,School / School District,Preschool & Child Care,Education,₹1 to ₹2 billion (INR),155,0,0,0,0,1,0,1,0,0
707,analyst,na,6.0,8.0,4.0,1,0,Delhi NCR,3.9,1001 to 5000 employees,Nonprofit Organization,Social Assistance,Non-Profit,₹100 to ₹500 million (INR),47,1,0,0,0,0,1,0,0,0
708,analyst,na,8.0,10.0,6.0,0,1,Bengaluru,3.9,501 to 1000 employees,Company - Private,IT Services,Information Technology,₹100 to ₹500 million (INR),20,0,0,0,0,0,0,0,0,0
709,analyst,na,6.0,8.0,4.0,0,1,Mumbai,4.0,5001 to 10000 employees,Company - Public,Venture Capital & Private Equity,Finance,₹1 to ₹2 billion (INR),126,1,0,1,0,1,1,0,0,0
710,analyst,na,7.5,9.0,6.0,1,0,Hyderabad,5.0,51 to 200 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),14,0,0,0,0,1,1,0,0,0
